City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
428,quartu sant'elena,39.2419,9.1839,296.91,77,0,2.57,IT,1694929257
429,mwinilunga,-11.7358,24.4293,298.15,28,5,2.23,ZM,1694929258
430,guatrache,-37.6678,-63.5302,283.0,40,92,3.69,AR,1694929258
431,agacoren,38.8748,33.9167,287.6,52,0,5.34,TR,1694929258
432,severo-yeniseyskiy,60.3725,93.0408,290.0,59,47,1.58,RU,1694929258
433,saint-joseph,-21.3667,55.6167,299.36,66,18,4.3,RE,1694929259
434,horodok,49.1637,26.5839,287.65,55,0,5.23,UA,1694929259
435,mhamid,29.82,-5.72,299.75,30,39,1.32,MA,1694929259
436,hailun,47.45,126.9333,295.78,70,95,3.71,CN,1694929253
437,illizi,26.4833,8.4667,294.04,16,0,5.08,DZ,1694929260
438,richmond,37.5538,-77.4603,288.62,92,0,0.0,US,1694929260
439,ilha de mocambique,-15.0342,40.7358,299.3,68,6,4.49,MZ,1694929260
440,nogliki,51.8333,143.1667,291.31,55,23,3.58,RU,1694929261
441,bardai,11.65,7.2333,294.93,92,100,2.88,NG,1694929262
442,mata de sao joao,-12.5303,-38.2992,298.01,95,4,0.91,BR,1694929262
443,kenai,60.5544,-151.2583,282.17,95,100,5.14,US,1694929262
444,kaya,13.0917,-1.0844,298.44,80,93,2.65,BF,1694929263
445,bikin,46.8161,134.26,292.97,59,100,1.24,RU,1694929263
446,fort mcmurray,56.7268,-111.381,285.88,62,0,3.09,CA,1694929263
447,othello,46.826,-119.1753,298.47,28,0,1.85,US,1694929264
448,roxas,11.5853,122.7511,302.67,70,100,2.56,PH,1694929264
449,selebi-phikwe,-21.979,27.8498,296.68,11,0,3.92,BW,1694929264
450,tarko-sale,64.9225,77.785,284.26,78,100,6.26,RU,1694929265
451,manokwari,-0.8667,134.0833,300.67,79,79,2.27,ID,1694929265
452,kolwezi,-10.7148,25.4667,296.82,31,6,2.84,CD,1694929265
453,hanceville,34.0607,-86.7675,294.21,95,58,0.9,US,1694929266
454,kharar,30.7444,76.6478,302.13,71,93,2.04,IN,1694929266
455,islamkot,24.6997,70.177,307.09,48,100,5.86,PK,1694929267
456,amungan,15.3652,119.9582,302.24,77,87,2.54,PH,1694929267
457,razole,16.4833,81.8333,306.7,54,13,3.21,IN,1694929267
458,roma,43.2128,-75.4557,283.43,94,0,0.0,US,1694929267
459,novodvinsk,64.4165,40.8122,282.25,98,100,1.22,RU,1694929146
460,preston,53.7667,-2.7167,287.85,90,100,5.38,GB,1694929269
461,shahritus,37.2637,68.1385,300.67,15,0,2.61,TJ,1694929269
462,palmer,42.1584,-72.3287,284.75,89,0,0.0,US,1694929270
463,sao felix do xingu,-6.6447,-51.995,297.14,64,15,0.44,BR,1694929270
464,sumbe,-11.2061,13.8437,294.96,92,99,1.28,AO,1694929095
465,marang,5.2056,103.2059,304.91,75,91,0.99,MY,1694929208
466,hovd,48.0056,91.6419,286.44,40,87,2.66,MN,1694929271
467,inverloch,-38.6333,145.7167,288.23,73,2,4.0,AU,1694929271
468,verkhnevilyuysk,63.4453,120.3167,278.53,66,100,3.48,RU,1694929272
469,altamont,42.2068,-121.7372,288.01,60,0,0.89,US,1694929272
470,ojocaliente,21.8775,-102.6754,291.23,78,89,2.0,MX,1694929272
471,nieuw nickerie,5.95,-56.9833,299.27,89,57,5.07,SR,1694929034
472,tosontsengel,48.7567,98.2839,281.23,63,100,3.34,MN,1694929273
473,nikolayevsk-on-amure,53.1406,140.73,287.04,55,87,2.77,RU,1694929090
474,opuwo,-18.0607,13.84,295.57,17,0,0.95,NA,1694929274
475,naze,28.3667,129.4833,302.66,72,8,3.51,JP,1694929035
476,shuangjiang,26.1547,109.7138,304.37,54,21,3.22,CN,1694929274
477,musanze,-1.4998,29.635,292.31,77,95,0.93,RW,1694929274
478,balaklava,44.5,33.6,293.36,37,21,1.96,UA,1694929099
479,banda aceh,5.5577,95.3222,302.22,65,100,3.08,ID,1694929275
480,ulsteinvik,62.3432,5.8487,280.56,90,72,4.02,NO,1694929275
481,buzuluk,52.7807,52.2635,291.34,63,80,3.38,RU,1694929104
482,pacific grove,36.6177,-121.9166,290.24,83,100,0.45,US,1694929276
483,zouerate,22.7187,-12.4521,302.48,44,100,1.27,MR,1694929237
484,rongelap,11.1635,166.8941,301.57,81,59,6.31,MH,1694929277
485,la ronge,55.1001,-105.2842,288.29,67,0,2.06,CA,1694929277
486,zarqa,32.0728,36.088,294.1,68,0,0.0,JO,1694929277
487,el nido,11.1858,119.3956,301.98,74,85,2.59,PH,1694929277
488,lady frere,-31.7031,27.2329,282.9,38,100,2.33,ZA,1694929278
489,tromso,69.6496,18.957,277.16,87,0,0.51,NO,1694929278
490,buala,-8.145,159.5921,300.3,81,96,3.98,SB,1694929279
491,siniscola,40.5719,9.6922,291.9,75,80,2.14,IT,1694929279
492,vorkuta,67.5,64.0,278.77,95,100,4.91,RU,1694929079
493,hacienda huancane,-15.8222,-70.8856,273.82,18,15,1.7,PE,1694929281
494,berdigestyakh,62.0989,126.6992,279.17,48,72,3.42,RU,1694929281
495,nizhnyaya poyma,56.1622,97.1933,292.31,43,10,1.76,RU,1694929282
496,mont-tremblant,46.1949,-74.6264,280.92,93,22,0.0,CA,1694929282
497,kaplice,48.7385,14.4963,289.07,81,12,0.89,CZ,1694929282
498,shakhtersk,48.0625,38.5167,290.64,56,20,5.21,UA,1694929225
499,ketchikan,55.3422,-131.6461,285.41,87,100,6.76,US,1694929283
500,khandyga,62.6667,135.6,275.98,92,100,0.26,RU,1694929283
501,qamdo,31.1667,97.2333,284.36,60,90,2.46,CN,1694929283
502,boretto,44.9019,10.5543,292.6,95,100,1.34,IT,1694929083
503,greenville,35.6127,-77.3663,290.7,87,0,2.57,US,1694929284
504,libreville,0.3925,9.4537,298.16,88,20,2.57,GA,1694929203
505,zhicheng,30.2956,111.5047,306.03,50,43,2.66,CN,1694929285
506,kirensk,57.7853,108.1119,289.85,58,49,1.61,RU,1694929285
507,sabang,5.8933,95.3214,301.11,69,99,1.74,ID,1694929286
508,ayorou,14.7308,0.9174,302.72,55,94,4.06,NE,1694929287
509,shuangyang,43.5242,125.6736,300.25,49,3,2.65,CN,1694929252
510,olinda,-8.0089,-34.8553,297.0,94,75,4.12,BR,1694929287
511,zeya,53.75,127.2667,289.02,53,100,2.23,RU,1694929289
512,bol,13.4586,14.7147,300.87,76,13,4.48,TD,1694929289
513,loen,7.7601,168.2307,302.39,73,95,4.09,MH,1694929290
514,husainabad,24.5333,84.0167,305.82,59,10,2.71,IN,1694929000
515,oyama,36.3,139.8,306.68,58,86,2.89,JP,1694929291
516,fort bragg,35.139,-79.006,292.15,72,0,3.09,US,1694929291
517,al jahra',29.3375,47.6581,306.91,12,0,7.02,KW,1694929291
518,ghanzi,-21.5667,21.7833,289.24,25,0,6.57,BW,1694929249
519,kiunga,-6.1219,141.2906,303.23,48,60,2.07,PG,1694929292
520,tongliao,43.6125,122.2653,302.3,39,3,4.32,CN,1694929293
521,nuku'alofa,-21.1333,-175.2,294.34,73,75,6.69,TO,1694929108
522,rupert,42.6191,-113.6772,289.12,48,0,1.54,US,1694929293
523,yeppoon,-23.1333,150.7333,298.03,61,15,6.93,AU,1694929294
